area,density1996,density1986
6912204.216,0.922272027,0.593939394
8976118.787,0.753240407,0.505812943
5873879.515,0.727621853,0.506227911
9227433.17,0.740126908,0.5107795
16423692.21,0.968041778,0.620072931
5103103.339,0.839868009,0.530979306
7611320.716,1.017610729,0.633968443
11252321.94,0.962532835,0.638543894
14049010.25,0.972022653,0.65395093
10475781.46,1.166938563,0.790943265
8755990.451,0.807460487,0.538290858
17988288.84,0.898213128,0.600591679
5253984.121,0.862270713,0.564676464
13433509.23,0.712519169,0.504679918
8782667.274,1.69221286,1.185908715
12867838.88,1.484557152,1.039709866
9004973.487,1.178230643,0.789634287
8756831.121,1.530401111,1.059608221
6002796.769,1.523535192,1.060755253
9214263.447,0.984196782,0.662031492
46468068.05,1.070156431,0.73935945
20638287.47,0.930021286,0.6240374
30143256.55,0.985007981,0.639271021
10994284.62,0.936385095,0.632328749
5746081.15,0.982479066,0.670101643
17962736.04,0.78152138,0.536885897
9746466.418,0.902485728,0.620229423
15413636.42,1.050607264,0.72916469
13661006.89,1.095951974,0.732625157
5299229.81,1.261584878,0.864575624
8834390.647,1.117187679,0.733360857
5180857.431,0.872497797,0.584185839
8003806.46,0.95768553,0.649325252
8053741.367,0.829207599,0.56796211
5132967.448,0.82473655,0.509242259
8543626.001,0.755956292,0.517434955
14329821.94,0.846293122,0.537219316
6535174.073,0.723370969,0.556183547
8784683.667,0.823551238,0.574894667
6776773.118,0.852519572,0.616651297
7007348.042,0.82328105,0.560312122
7505492.479,0.797756732,0.599661529
5220106.936,1.048575163,0.709732473
7952654.34,0.920698494,0.655906677
7628685.071,1.044643044,0.704509556
16734696.55,0.771713465,0.534598202
8784683.667,0.77416265,0.538079977
5273948.298,1.184561968,0.774978101
5226888.357,1.112948895,0.721596539
5078688.918,1.119537652,0.738400459
7441750.426,0.882252693,0.58421272
16563440.17,0.897208035,0.572499633
7007348.042,0.843853235,0.581714749
10240212.81,1.14627099,0.746113161
5411104.306,1.09429704,0.732546425
7628685.071,1.052316844,0.713653992
26087086.92,1.056554615,0.682807763
15042765.73,0.742961079,0.517456383
17982741.75,0.753618062,0.532584697
11174325.52,0.734127581,0.510260999
26087086.92,0.909374222,0.600265935
5719647.506,0.779443264,0.520885229
5666216.653,1.355609536,0.934673607
5100520.146,0.839029491,0.565251946
5588200.695,0.837576985,0.56553185
5236316.763,0.912948251,0.621910925
7204502.201,1.607555032,1.049639463
11174325.52,0.774875224,0.544541121
8449561.135,1.361903787,0.952958465
9445601.538,1.411989729,0.958718121
5991082.065,1.257498384,0.869731367
12222843.28,0.702747583,0.508691549
6279732.785,2.601377964,1.7771523
5199436.22,2.036919326,1.388944805
17392409.63,1.180598855,0.781302392
42715733.79,1.321714657,0.860151512
7882527.497,1.37088871,0.961918414
6110862.334,1.418429494,0.996420681
5806915.194,1.06369698,0.702964067
5023786.515,1.159018898,0.774902463
6519777.347,1.22206223,0.827154406
5625879.489,1.017468601,0.667527358
17273336.29,1.254438221,0.826956496
11373290.98,1.158119619,0.77295509
17982741.75,0.784568846,0.563394368
7384969.76,0.860546768,0.540341616
9279064.717,0.999031816,0.678867408
32484410.59,1.644402782,1.126512567
8980064.592,1.438158137,1.010301547
15042765.73,0.760042787,0.530485593
24203181.47,0.806395729,0.527942017
13911672.77,1.095502555,0.691640705
15954312.39,1.99156185,1.321576238
18747491.1,1.159418543,0.773232281
5278420.734,1.51565063,1.075507522
26896477.79,1.18182524,0.744603634
61205806.55,1.38157481,0.967265978
15171102.92,1.021064103,0.695838958
5666216.653,1.436627418,0.979097635
29585060.17,1.424344993,0.925791705
18856406.64,1.042403221,0.733457386
10396085.34,1.091092825,0.751367271
42225588.94,1.915019214,1.331448138
36821200.11,1.271225452,0.848172307
11174325.52,0.763241991,0.524579898
8593166.827,1.810509443,1.245632648
13474438.48,1.31242919,0.944718659
9523416.821,1.261742036,0.852018197
8492106.963,1.00505048,0.698832303
6897455.54,1.303220034,0.876899779
7663942.242,1.334415615,0.960532546
7524186.439,1.188630939,0.804107189
7382850.134,1.214634448,0.823728859
10100809.01,1.302876234,0.921536207
7501576.191,1.037917793,0.695161551
8775720.14,1.286380708,0.876060635
12357666.67,1.089414954,0.723052402
8302365.795,0.900066197,0.646955073
11967074.48,0.869208336,0.640618652
17030842.9,1.043184996,0.78924942
25869900.79,0.993926585,0.696838677
5025139.122,0.970578104,0.664807081
6357129.974,0.994355083,0.674837232
10219828.73,1.123073498,0.745114883
102229086.9,0.991560682,0.63288269
19066382.63,0.826336682,0.554263368
20937681.67,0.987653653,0.676056107
7671472.959,0.93755281,0.655628681
18964265.73,1.17425853,0.769465923
6014098.061,1.098187804,0.761800468
9179574.825,0.966681838,0.78430295
13898829.17,0.99704651,0.653085232
7391435.33,0.894099236,0.554857016
21080254.06,0.836537075,0.520649028
18031963.14,0.986443669,0.681286812
20708436.02,0.972787499,0.690325538
24070862.4,0.959661472,0.64625324
7882527.497,1.390658379,0.979792237
26896477.79,1.031650782,0.708678663
6061063.104,0.820803225,0.502187654
61205806.55,1.407775626,1.000605613
7307557.81,0.840227902,0.554842263
75844272,1.224701258,0.837060457
6506362.733,1.162753344,0.744062215
101127434.1,1.033255816,0.686650872
27357521,0.84867115,0.576933485
5666216.653,1.505933881,1.041824222
42715733.79,1.357476354,0.869071066
5244049.696,0.739445233,0.506927031
24973372.25,1.225723386,0.869460762
5793111.864,1.024392724,0.7064237
6856543.064,1.037960299,0.698835433
6248807.733,1.18955183,0.851049721
8053741.367,0.819061875,0.573896706
5643418.28,0.810814023,0.520761609
9412770.374,0.897050112,0.583561778
9716188.74,0.857292056,0.557922006
6967100.456,1.244084537,0.874403477
5262756.98,1.009149551,0.682046711
16563440.17,0.809758812,0.543378234
5078688.918,1.100932837,0.724275708
5234074.873,1.084309518,0.719851931
15859268,0.836863657,0.565120975
7441750.426,0.77994892,0.51345925
12199687.88,0.688487321,0.507265478
6505795.407,0.893905997,0.599921763
7370313.701,1.040081501,0.695309281
25789237.78,1.052666128,0.688392669
7394090.648,0.879547447,0.595006645
5067099.117,1.136706591,0.782672048
8043749.078,1.109832883,0.778837413
6258624.285,1.020768811,0.705503861
6955289.465,1.136896729,0.75244838
5171112.69,1.022525108,0.712147129
5176003.421,0.931460341,0.627222776
6928784.44,0.690012723,0.50032714
8006689.963,0.902678967,0.607609808
7261232.817,0.726180196,0.505307257
5132967.448,0.832480192,0.517462492
27241147.61,1.234226108,0.863027692
26087086.92,0.792641521,0.53052187
28125470.09,1.054791594,0.676636016
10653544.84,1.001314439,0.626979105
17312688.18,1.104749799,0.740634918
5088683.422,1.048931241,0.742953777
8895338.807,1.241243005,0.816064417
31591770.32,1.064847231,0.755240917
10334738.7,1.78040276,1.187079688
5157431.05,1.628570259,1.100040644
24152181.46,1.089316249,0.722545773
13753565.02,0.940699369,0.618302315
36041637.14,1.041296661,0.768708915
12863443.5,1.007964015,0.677512735
13408905.67,0.967667878,0.722296655
9455286.614,0.855460674,0.576113701
15646892.46,0.985578954,0.65134114
7621246.833,1.153016567,0.766408324
14338779.25,1.606800079,1.068358368
11064100.21,1.395519257,0.910466075
12785183.14,1.039379179,0.685091794
5347653.803,1.59758089,1.009834518
6964646.863,0.934608817,0.624817848
5188688.814,1.438974261,0.949348807
5892828.126,0.747709453,0.524836719
17911458.13,1.575522986,1.037090269
6895576.001,1.460296869,0.950434089
26628882.05,0.904480577,0.601651847
5059340.045,1.19000113,0.817557633
10685058.7,0.878501952,0.581828594
6618989.387,1.429352283,0.948921442
7530786.725,1.616966844,1.079943657
5473250.606,1.099786381,0.74850748
11026724.09,0.940840775,0.637488419
11013321.71,0.9247998,0.607240796
7237541.276,0.793725908,0.550940812
5252310.031,1.218495965,0.845471501
28357192.46,0.824813346,0.550088882
34710486.35,1.499914974,0.984698638
9019962.564,1.427353597,0.955270457
8217025.789,1.577169061,1.054032803
7453880.71,0.964851362,0.653780792
5816975.786,0.846964359,0.563665152
6257681.177,0.915666223,0.624161243
14745530.56,1.19000113,0.817557633
8646443.598,0.883993685,0.586465001
21110826.5,0.871744196,0.596976409
5366058.349,1.506156425,0.997139086
11680925.95,0.978954867,0.669872299
5516928.737,0.892813385,0.586669544
8304393.002,0.917647839,0.634887516
36821200.11,1.279058784,0.872245729
8511122.048,1.203358486,0.7794725
6616694.14,1.104290307,0.714470953
6897455.54,1.419133067,0.94125104
7382850.134,1.211971998,0.821149886
6171682.64,0.967940678,0.648951431
22428543.89,1.067926566,0.714117765
12298444.09,1.455083489,0.963732004
7663942.242,1.382912874,0.961836636
17030842.9,1.206100762,0.874193192
25869900.79,1.035982132,0.780244589
5844358.796,1.261716843,0.86596477
7671472.959,1.033240795,0.734066725
9843684.753,1.297624946,0.933644414
11903845.61,1.428520759,1.119328181
12117865.3,1.419157445,0.972269207
14656754,1.2288843,0.8569538
8593166.827,1.895698011,1.299018393
42225588.94,1.608370324,1.165359934
5011903.07,1.282842666,0.917453304
8962606.844,1.021444559,0.775280535
9414837.26,1.189577579,0.866565406
17922854.4,1.174945831,0.789162874
17455992.74,1.048061132,0.670060396
6595849.734,0.897295713,0.617143452
31999650.03,1.483814329,1.005273938
9553216.498,1.091344595,0.732073824
8001784.289,0.984550387,0.678401023
37812382.33,1.10005191,0.742740259
9243696.52,0.971721411,0.672316968
5685890.781,1.173812032,0.852451324
21922105.44,1.026352346,0.731444657
7524186.439,1.218717873,0.823746979
10100809.01,1.329953194,0.914582312
7624236.831,1.180464208,0.810218453
13474438.48,1.316289485,0.926851809
101127434.1,1.245309472,0.867184252
75844272,1.24194591,0.904969192
6205150.847,0.775760651,0.525350511
5055591.596,0.860985051,0.566963047
6599645.312,0.877205521,0.577530712
12737106.3,0.851028502,0.54569155
15919197.45,1.08365351,0.715357095
7800034.496,0.963464141,0.633834124
5108512.239,0.80485186,0.537425712
6026483.25,0.787862182,0.506309271
18885933.88,0.975913793,0.576070487
6307502.79,0.994388998,0.574634314
5477115.584,0.86940068,0.522866204
5608181.098,0.811903536,0.508847117
5732719.681,0.870426655,0.527418062
8832727.976,0.920294185,0.562999666
5485301.285,1.139193177,0.7977404
8807906.144,2.509451389,1.761375904
5063903.595,2.002159595,1.400258183
6677429.886,1.219626307,0.886207074
6316174.299,1.493811727,1.096238017
8256798.561,0.912707508,0.618562818
7042059.443,1.979957759,1.376789033
5580409.229,1.198771834,0.794731379
7454591.061,1.645974636,1.13823998
5240101.567,1.211280823,0.814974368
5504315.918,2.21551919,1.6503582
5993789.929,1.471756279,1.0313164
6491630.668,1.654360056,1.135111392
6856819.168,1.146933556,0.791930735
5778842.335,2.487104654,1.758158088
7064080.009,0.973669857,0.670423299
5087822.497,1.566995382,1.091432333
10253509.24,0.914910406,0.63064453
24973372.25,1.2563923,0.908160627
5552929.078,0.919135654,0.593057311
14437855.97,1.572165251,1.064129174
5543019.858,1.311706543,0.921354055
12103983.28,1.499830425,1.064860821
9659200.021,1.151998281,0.796296895
10053360.31,0.879717886,0.560361604
6194663.251,0.985073686,0.663456082
6216250.289,1.069347868,0.736676047
22016144.57,0.81130892,0.543459376
7266543.852,1.541505337,1.062088013
9412770.374,0.903134704,0.588227183
6516582.022,0.842801591,0.582320243
5456186.282,0.78575176,0.510680169
5260234.692,1.181434035,0.846919686
8770394.576,0.917085409,0.663189173
6967100.456,1.243327584,0.891584592
27241147.61,1.205737015,0.851002236
5064662.719,1.525959611,1.038605809
6248807.733,1.237116814,0.887291372
5977581.179,1.26873374,0.866010964
8860380.906,1.679766536,1.161092997
5369932.662,1.418247342,0.926327705
7111475.545,0.839323044,0.589502394
7276247.692,1.745480339,1.164423943
6795240.992,1.43127532,0.90452503
5002230.838,1.040443182,0.729775339
12237220.24,0.914422154,0.638741791
7702440.59,1.032254199,0.759225885
5945924.722,1.933689266,1.371861488
5103318.943,1.455686314,1.03423959
5513736.285,1.608475506,1.038529446
9427524.441,1.419980288,0.893913001
5319719.801,1.682037354,1.136149287
14762904.56,1.049101015,0.741378705
5416963.392,0.986657381,0.730508387
17312688.18,1.126181364,0.774093807
8678107.293,1.322971761,0.907457262
7251947.401,1.063075542,0.764255941
31591770.32,1.085916162,0.793944359
10334738.7,1.774791384,1.186240649
6999312.396,1.807754874,1.318558335
5256966.748,1.763530731,1.239656925
7210231.887,1.402805805,1.021695614
16640228.36,1.234138489,0.854434133
24152181.46,1.142149409,0.79934299
7004750.437,0.866555452,0.617630899
36041637.14,1.150624335,0.782797292
5958061.8,1.22736764,0.849571228
8511122.048,1.229429007,0.79762429
9414837.26,1.174729864,0.85182784
40992986.17,1.647741795,1.105033304
8696214.644,1.354885697,0.89838925
17922854.4,1.246438742,0.838023961
13408905.67,1.117294312,0.811352074
15919197.45,1.12514174,0.739636183
9542681.447,0.820189804,0.532256097
29992312.79,0.84433349,0.543137143
5859403.326,0.965350509,0.655431092
6778019.131,0.860537191,0.576736172
14617947.72,0.915638685,0.641042173
10413839.21,2.395426631,1.625726604
6505717.364,1.169434528,0.80634741
10809315.29,1.646077394,1.077927113
8718539.414,1.756678462,1.164437532
8185107.785,1.132776216,0.767053895
8726248.778,1.235977113,0.843732417
7091340.82,1.113790035,0.781727523
21069635,2.042081565,1.402602524
5627694.919,1.350818566,0.948947021
9852845.275,1.495125021,1.043892392
9019962.564,1.367176223,0.921481442
9330537.303,1.310801148,0.918027699
5844358.796,1.226595938,0.834780768
11494798.15,1.026163101,0.711997986
5065618.046,1.05550611,0.743112803
6925352.041,1.131316781,0.744279325
37812382.33,1.1985116,0.803034067
25166637.91,1.414955854,0.993812394
14745530.56,1.076388538,0.752505124
12019405.42,0.8746216,0.594434023
31434065.62,1.006198823,0.677196419
8183055.32,0.999959171,0.683557302
9293412.934,1.004185617,0.693104476
5020140.415,0.993181586,0.666128099
5354615.175,0.882465661,0.583220422
79343188.9,0.87776804,0.615442817
7015430.881,0.815461412,0.587235846
6726751.958,1.332425237,0.919891417
11680925.95,0.950108469,0.645159543
5516928.737,0.884804785,0.576721013
11254046.16,0.875362396,0.58680132
13010048.58,1.154915452,0.787123621
5254726.89,1.021223426,0.709931791
5962324.767,0.730961204,0.506936423
15646892.46,1.004131556,0.65749383
6614953.539,1.205871284,0.833920121
7621246.833,1.123961012,0.75728488
18769022.59,0.907802403,0.610734204
101127434.1,1.115626216,0.739485162
31999650.03,1.569543362,1.077719927
32471833.94,0.908283194,0.656523933
38285039.7,1.023516364,0.689631335
12785183.14,1.101819612,0.726418123
9553216.498,1.118475676,0.755906343
49622196.08,0.900357008,0.615951404
8834920.385,0.942805231,0.652503848
7738575.38,0.896936297,0.605280817
19261302.73,1.016405135,0.680504262
10310688.05,0.84583813,0.572062969
26628882.05,0.965802709,0.657378554
52876259.23,1.478367468,1.007986099
5059340.045,1.133409441,0.784882545
26353841.58,1.166899006,0.835460146
6618989.387,1.401708722,0.939300895
5807427.644,1.251854002,0.868488014
5210732.912,1.378913522,0.929596186
16137529.72,1.121316592,0.726200978
5083471.422,0.817097366,0.553011656
11013321.71,0.984367609,0.645354033
29621707.23,1.255249143,0.850549589
6442764.28,0.878927886,0.590222359
9909411.743,0.972734213,0.660786748
20956160.82,1.047252685,0.701647162
6767390.204,0.982837766,0.663702339
17636158.56,0.940475563,0.643565257
21403925.82,0.856532812,0.601907516
11539947.87,1.041806817,0.740104645
9322206.298,2.124556303,1.402157068
8638886.548,1.871010542,1.220765471
14338779.25,1.645139158,1.10460937
6331034.073,1.030737281,0.68057704
5163614.614,1.168915963,0.780582404
5078053.978,1.329038858,0.870323956
10334738.7,1.853287637,1.238968372
17911458.13,1.667525172,1.096101046
20877395.95,0.874627292,0.576449454
31999650.03,1.730448306,1.213793218
5504315.918,2.279658508,1.644738388
5993789.929,1.645756602,1.125956178
7737018.316,0.828441918,0.560379483
7351903.25,1.791099429,1.223295212
5103228.814,1.39880991,0.919416368
10487462.93,1.629709244,0.990349054
5347653.803,1.750443637,1.099722028
13971898.97,1.148292959,0.803019494
9430117.39,1.946761012,1.276994705
10413839.21,2.097935915,1.379275441
9852845.275,1.584932725,1.126095732
9104994.203,0.873267353,0.55168885
5778842.335,2.208483815,1.617012024
7012813.42,1.760849237,1.138346076
5832130.693,2.015719891,1.288997531
52876259.23,1.662737489,1.163378358
7530786.725,1.613862634,1.062034845
6841632.034,0.976468861,0.667128295
18885933.88,0.966372669,0.593534384
6841632.034,0.974236906,0.665840507
7800034.496,0.958452657,0.650119275
6587113.757,0.975311995,0.639529407
5055591.596,0.928557654,0.604888697
6599645.312,0.967578855,0.636324909
9142997.11,0.928413689,0.592552572
5900612.063,0.965239286,0.606579304
6655816.409,0.74597466,0.506962359
5732719.681,0.923247278,0.532917738
16457636.94,0.745640665,0.501459926
6214803.939,1.141514659,0.741749465
7842091.864,0.865135014,0.543628633
5085096.236,0.974530995,0.577785969
7923573.29,0.835950226,0.550119609
9142997.11,0.877250111,0.537892962
10310688.05,0.86489898,0.582246602
5997959.304,0.883429253,0.593567777
9364722.793,0.797036469,0.528761476
5083471.422,0.799125731,0.538115442
79343188.9,0.749586821,0.524235725
